,Recorder,Date,Time,Path
55,G03,2018/05/12,8:32:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_083200.wav
56,G03,2018/05/12,8:48:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_084800.wav
57,G03,2018/05/12,9:04:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_090400.wav
58,G03,2018/05/12,9:20:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_092000.wav
59,G03,2018/05/12,9:36:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_093600.wav
60,G03,2018/05/12,9:52:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_095200.wav
61,G03,2018/05/12,10:08:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_100800.wav
62,G03,2018/05/12,10:24:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_102400.wav
63,G03,2018/05/12,10:40:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_104000.wav
64,G03,2018/05/12,10:56:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_105600.wav
65,G03,2018/05/12,11:12:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_111200.wav
66,G03,2018/05/12,11:28:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_112800.wav
67,G03,2018/05/12,11:44:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_114400.wav
68,G03,2018/05/12,12:00:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_120000.wav
69,G03,2018/05/12,12:16:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_121600.wav
70,G03,2018/05/12,12:32:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_123200.wav
71,G03,2018/05/12,12:48:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_124800.wav
72,G03,2018/05/12,13:04:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_130400.wav
73,G03,2018/05/12,13:20:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_132000.wav
74,G03,2018/05/12,13:36:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_133600.wav
75,G03,2018/05/12,13:52:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_135200.wav
76,G03,2018/05/12,14:08:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_140800.wav
77,G03,2018/05/12,14:24:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_142400.wav
78,G03,2018/05/12,14:40:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_144000.wav
79,G03,2018/05/12,14:56:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_145600.wav
80,G03,2018/05/12,15:12:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_151200.wav
81,G03,2018/05/12,15:28:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_152800.wav
82,G03,2018/05/12,15:44:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_154400.wav
83,G03,2018/05/12,16:00:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_160000.wav
84,G03,2018/05/12,16:16:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_161600.wav
85,G03,2018/05/12,16:32:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_163200.wav
86,G03,2018/05/12,16:48:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_164800.wav
87,G03,2018/05/12,20:00:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_200000.wav
88,G03,2018/05/12,20:16:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_201600.wav
89,G03,2018/05/12,20:32:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_203200.wav
90,G03,2018/05/12,20:48:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_204800.wav
91,G03,2018/05/12,21:04:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_210400.wav
92,G03,2018/05/12,21:20:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_212000.wav
93,G03,2018/05/12,21:36:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_213600.wav
94,G03,2018/05/12,21:52:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_215200.wav
